player_id,nome_giocatore,n_train,n_test,order_armax,aic_armax,mae_armax,mae_lgbm,armax_migliore
22,De Roon,265,70,"(1, 0, 1)",463.10939650709355,0.4154962888397072,0.37338855376721836,False
27,Grassi,170,56,"(2, 0, 1)",258.3876032656089,0.37414221990912117,0.35351608562871356,False
49,Masina,123,28,"(1, 0, 1)",241.97779740981483,0.48310567005920063,0.4612347251241315,False
133,Skorupski,275,45,"(1, 0, 1)",520.9323144351898,0.5280480621308428,0.3131418920349051,False
140,Hysaj,248,10,"(1, 0, 0)",453.49850373882094,0.5991898362678176,0.3188593412783409,False
152,Zielinski,311,50,"(2, 0, 1)",635.5436226406421,0.48707672543608493,0.4432746449358945,False
170,Badelj,223,22,"(1, 0, 1)",420.2350814655376,0.6444391899176956,0.3941997529738503,False
181,Vecino,200,30,"(2, 0, 1)",365.1898648357282,0.7051608208373245,0.295667620669015,False
184,Bernardeschi,178,24,"(2, 0, 1)",396.3813591563666,0.5438315360684504,0.5060616101009834,False
186,Rebic,102,18,"(2, 1, 1)",276.9882158452545,0.6455742940275905,0.45781444111453456,False
218,Perin,159,14,"(2, 0, 1)",251.71693384109858,0.34919999636549603,0.18405213091050726,False
226,Izzo,228,28,"(2, 1, 1)",467.59627478489347,0.47831468770182645,0.4980351004734933,True
236,Lazovic,263,24,"(2, 1, 1)",516.6920781520877,0.558050761058238,0.47971815753217956,False
247,Pavoletti,168,17,"(1, 0, 1)",446.604584247994,0.6229315318719039,0.5060992610744919,False
252,Biraghi,260,32,"(1, 0, 1)",505.05067099071454,0.46308672020481045,0.4343687786404541,False
253,D'ambrosio,191,17,"(1, 0, 1)",393.14558900728343,0.7316859085827129,0.5283572656778103,False
254,Dimarco,151,67,"(2, 1, 1)",296.482133136328,0.686243697765376,0.635733948854908,False
256,Juan Jesus,130,34,"(1, 0, 0)",257.16683174955665,0.5034093713033956,0.4036822597823158,False
294,Rugani,119,8,"(1, 0, 0)",206.45129174234617,0.5064558603736456,0.3324379530061434,False
309,Dybala,253,41,"(1, 0, 1)",637.4725039027337,0.6475373262052978,0.6640780751655629,True
313,Morata,92,33,"(2, 0, 1)",260.4125384015715,1.0480189416690262,0.5399156274695113,False
322,De Vrij,234,30,"(1, 0, 0)",415.66676144997604,0.5162516654791062,0.4404883634613608,False
327,Patric,149,18,"(2, 0, 1)",295.7734544599479,0.7226081692336694,0.3696469413212,False
333,Cataldi,189,51,"(2, 1, 1)",326.52593111935914,0.5534624753412668,0.4455844786565111,False
345,Keita B.,124,10,"(2, 0, 1)",291.8749519614545,0.8871391309109591,0.5034331368555012,False
357,Calabria,193,13,"(2, 1, 1)",398.14670292913814,0.4153328301677392,0.4208012629952949,True
358,De Sciglio,121,12,"(1, 0, 1)",206.27870598622252,0.44555113501936083,0.37219257354229035,False
387,Reina,160,12,"(1, 0, 0)",259.4929485121637,0.8124374263998987,0.4178254752780055,False
388,Albiol,112,8,"(1, 0, 1)",195.00958702368104,0.47720867990269034,0.5019262229850886,True
393,Luperto,135,70,"(2, 0, 1)",320.05689883563116,0.6531287617962086,0.5567103392568745,False
418,Goldaniga,144,30,"(2, 0, 1)",354.6247206106518,0.7866474098959252,0.34889911322946443,False
441,Belotti,275,16,"(1, 0, 1)",683.5589659357231,0.5069339813381474,0.43961405074935217,False
460,Romagnoli,256,64,"(1, 0, 1)",490.6601102709675,0.5280945028946796,0.4015372440846177,False
479,Sanabria,142,45,"(2, 1, 1)",359.66585632234853,0.4873028815153462,0.3972414598195211,False
487,De Silvestri,209,26,"(1, 0, 1)",377.3215436728589,0.3926063021032417,0.2246197441010511,False
495,Correa,166,15,"(2, 0, 1)",364.0763480207728,0.6071316969950086,0.4743286022090471,False
505,Bonazzoli,115,35,"(2, 1, 1)",252.92297209921028,0.6276305669504622,0.5925359084988031,False
513,Acerbi,306,37,"(2, 1, 1)",622.5337345734781,0.5168548450705875,0.28530435781396746,False
526,Duncan,217,14,"(1, 0, 1)",442.1590350345457,0.53947232383527,0.3602730355633322,False
530,Pellegrini Lo.,243,49,"(2, 1, 1)",548.0351423213457,0.5584333028026466,0.4315852430202533,False
531,Berardi,249,26,"(2, 1, 1)",640.071075949982,0.7283619411900695,0.5895838622896813,False
536,Politano,274,70,"(1, 0, 1)",565.3970952966145,0.5456081219184303,0.40576674502860666,False
554,Zappacosta,169,65,"(2, 0, 1)",313.68690652900113,0.5268246093607141,0.4166667544385399,False
572,Meret,143,45,"(1, 0, 0)",270.6508997438804,0.4523971624666575,0.3916075464171175,False
608,Zapata D.,279,30,"(2, 0, 1)",715.032202055052,0.7034391677157911,0.6350045209827293,False
632,Zaccagni,166,60,"(1, 0, 1)",336.0264766090261,0.5477055584945645,0.5718173586427493,True
647,Dzeko,257,8,"(1, 0, 1)",704.152271249661,0.3899144336545026,0.37702798225330847,False
