stagione,giornata,squadra,punti_pre,vittorie_pre,pareggi_pre,sconfitte_pre,gol_fatti_pre,gol_subiti_pre,diff_reti_pre,posizione_pre
2015-16,1,Roma,0,0,0,0,0,0,0,1
2015-16,1,Sampdoria,0,0,0,0,0,0,0,2
2015-16,1,Inter,0,0,0,0,0,0,0,3
2015-16,1,Bologna,0,0,0,0,0,0,0,4
2015-16,1,Genoa,0,0,0,0,0,0,0,5
2015-16,1,Fiorentina,0,0,0,0,0,0,0,6
2015-16,1,Juventus,0,0,0,0,0,0,0,7
2015-16,1,Chievo,0,0,0,0,0,0,0,8
2015-16,1,Atalanta,0,0,0,0,0,0,0,9
2015-16,1,Udinese,0,0,0,0,0,0,0,10
2015-16,1,Napoli,0,0,0,0,0,0,0,11
2015-16,1,Lazio,0,0,0,0,0,0,0,12
2015-16,1,Empoli,0,0,0,0,0,0,0,13
2015-16,1,Frosinone,0,0,0,0,0,0,0,14
2015-16,1,Verona,0,0,0,0,0,0,0,15
2015-16,1,Palermo,0,0,0,0,0,0,0,16
2015-16,1,Sassuolo,0,0,0,0,0,0,0,17
2015-16,1,Milan,0,0,0,0,0,0,0,18
2015-16,1,Torino,0,0,0,0,0,0,0,19
2015-16,1,Carpi,0,0,0,0,0,0,0,20
2015-16,2,Sampdoria,3,1,0,0,5.0,2.0,3.0,1
2015-16,2,Chievo,3,1,0,0,3.0,1.0,2.0,2
2015-16,2,Fiorentina,3,1,0,0,2.0,0.0,2.0,3
2015-16,2,Lazio,3,1,0,0,2.0,1.0,1.0,4
2015-16,2,Sassuolo,3,1,0,0,2.0,1.0,1.0,5
2015-16,2,Torino,3,1,0,0,2.0,1.0,1.0,6
2015-16,2,Inter,3,1,0,0,1.0,0.0,1.0,7
2015-16,2,Udinese,3,1,0,0,1.0,0.0,1.0,8
2015-16,2,Palermo,3,1,0,0,1.0,0.0,1.0,9
2015-16,2,Roma,1,0,1,0,1.0,1.0,0.0,10
2015-16,2,Verona,1,0,1,0,1.0,1.0,0.0,11
2015-16,2,Bologna,0,0,0,1,1.0,2.0,-1.0,12
2015-16,2,Napoli,0,0,0,1,1.0,2.0,-1.0,13
2015-16,2,Frosinone,0,0,0,1,1.0,2.0,-1.0,14
2015-16,2,Genoa,0,0,0,1,0.0,1.0,-1.0,15
2015-16,2,Juventus,0,0,0,1,0.0,1.0,-1.0,16
2015-16,2,Atalanta,0,0,0,1,0.0,1.0,-1.0,17
2015-16,2,Empoli,0,0,0,1,1.0,3.0,-2.0,18
2015-16,2,Milan,0,0,0,1,0.0,2.0,-2.0,19
2015-16,2,Carpi,0,0,0,1,2.0,5.0,-3.0,20
2015-16,3,Chievo,6,2,0,0,7.0,1.0,6.0,1
2015-16,3,Torino,6,2,0,0,5.0,2.0,3.0,2
2015-16,3,Inter,6,2,0,0,3.0,1.0,2.0,3
2015-16,3,Sassuolo,6,2,0,0,3.0,1.0,2.0,4
2015-16,3,Palermo,6,2,0,0,2.0,0.0,2.0,5
2015-16,3,Sampdoria,4,1,1,0,7.0,4.0,3.0,6
2015-16,3,Roma,4,1,1,0,3.0,2.0,1.0,7
2015-16,3,Genoa,3,1,0,1,2.0,1.0,1.0,8
2015-16,3,Atalanta,3,1,0,1,2.0,1.0,1.0,9
2015-16,3,Fiorentina,3,1,0,1,3.0,3.0,0.0,10
2015-16,3,Udinese,3,1,0,1,1.0,1.0,0.0,11
2015-16,3,Milan,3,1,0,1,2.0,3.0,-1.0,12
2015-16,3,Lazio,3,1,0,1,2.0,5.0,-3.0,13
2015-16,3,Napoli,1,0,1,1,3.0,4.0,-1.0,14
2015-16,3,Verona,1,0,1,1,1.0,3.0,-2.0,15
2015-16,3,Bologna,0,0,0,2,1.0,3.0,-2.0,16
2015-16,3,Juventus,0,0,0,2,1.0,3.0,-2.0,17
2015-16,3,Empoli,0,0,0,2,2.0,5.0,-3.0,18
2015-16,3,Frosinone,0,0,0,2,1.0,4.0,-3.0,19
2015-16,3,Carpi,0,0,0,2,3.0,7.0,-4.0,20
2015-16,4,Inter,9,3,0,0,4.0,1.0,3.0,1
2015-16,4,Chievo,7,2,1,0,8.0,2.0,6.0,2
2015-16,4,Sampdoria,7,2,1,0,9.0,4.0,5.0,3
2015-16,4,Torino,7,2,1,0,7.0,4.0,3.0,4
2015-16,4,Roma,7,2,1,0,5.0,2.0,3.0,5
2015-16,4,Sassuolo,7,2,1,0,5.0,3.0,2.0,6
2015-16,4,Palermo,7,2,1,0,4.0,2.0,2.0,7
2015-16,4,Fiorentina,6,2,0,1,4.0,3.0,1.0,8
2015-16,4,Lazio,6,2,0,1,4.0,5.0,-1.0,9
2015-16,4,Atalanta,4,1,1,1,4.0,3.0,1.0,10
2015-16,4,Genoa,3,1,0,2,2.0,2.0,0.0,11
2015-16,4,Milan,3,1,0,2,2.0,4.0,-2.0,12
2015-16,4,Udinese,3,1,0,2,1.0,3.0,-2.0,13
2015-16,4,Napoli,2,0,2,1,5.0,6.0,-1.0,14
2015-16,4,Verona,2,0,2,1,3.0,5.0,-2.0,15
2015-16,4,Juventus,1,0,1,2,2.0,4.0,-2.0,16
2015-16,4,Empoli,1,0,1,2,4.0,7.0,-3.0,17
2015-16,4,Carpi,1,0,1,2,5.0,9.0,-4.0,18
2015-16,4,Bologna,0,0,0,3,1.0,5.0,-4.0,19
2015-16,4,Frosinone,0,0,0,3,1.0,6.0,-5.0,20
2015-16,5,Inter,12,4,0,0,5.0,1.0,4.0,1
2015-16,5,Torino,10,3,1,0,9.0,4.0,5.0,2
2015-16,5,Fiorentina,9,3,0,1,5.0,3.0,2.0,3
2015-16,5,Roma,8,2,2,0,7.0,4.0,3.0,4
2015-16,5,Sassuolo,8,2,2,0,7.0,5.0,2.0,5
2015-16,5,Chievo,7,2,1,1,8.0,3.0,5.0,6
2015-16,5,Sampdoria,7,2,1,1,9.0,6.0,3.0,7
2015-16,5,Palermo,7,2,1,1,6.0,5.0,1.0,8
