player_id,stagione,eta_al_1_agosto,nome_transfermarkt,squadra,match_type,player_tm_id
4,2015-16,23,Marco Sportiello,Atalanta,cognome/token,199976
10,2015-16,28,Nicolò Cherubin,Atalanta,cognome/token,56854
13,2015-16,30,Boukary Dramé,Atalanta,cognome/token,33442
15,2015-16,29,Andrea Masiello,Atalanta,cognome/token,34198
17,2015-16,34,Guglielmo Stendardo,Atalanta,cognome/token,22093
26,2015-16,27,Papu Gómez,Atalanta,cognome/token,20005
28,2015-16,26,Jasmin Kurtic,Atalanta,cognome/token,85825
29,2015-16,34,Giulio Migliaccio,Atalanta,cognome/token,21756
31,2015-16,28,Maxi Moralez,Atalanta,cognome/token,30687
35,2015-16,33,Germán Denis,Atalanta,cognome/token,30873
39,2015-16,31,Mauricio Pinilla,Atalanta,cognome/token,6160
24,2015-16,27,Marcelo Estigarribia,Atalanta,cognome/token,76329
25,2015-16,28,Luigi Giorgi,Atalanta,cognome/token,57389
27,2015-16,20,Alberto Grassi,Atalanta,cognome/token,197473
6,2015-16,35,Gianpaolo Bellini,Atalanta,cognome/token,19435
16,2015-16,34,Cristian Raimondi,Atalanta,cognome/token,22249
360,2015-16,29,Gabriel Paletta,Atalanta,cognome/token,30767
695,2015-16,24,Rafael Tolói,Atalanta,cognome/token,72441
38,2015-16,21,Gaetano Monachello,Atalanta,cognome/token,162952
20,2015-16,29,Luca Cigarini,Atalanta,cognome/token,33218
8,2015-16,27,Davide Brivio,Atalanta,cognome/token,38824
1,2015-16,30,Davide Bassi,Atalanta,cognome/token,41914
11,2015-16,21,Andrea Conti,Atalanta,cognome/token,111227
784,2015-16,32,Alessandro Diamanti,Atalanta,cognome/token,23197
722,2015-16,33,Marco Borriello,Atalanta,cognome/token,5825
788,2015-16,23,Remo Freuler,Atalanta,cognome/token,148252
243,2015-16,28,Serge Gakpé,Atalanta,cognome/token,36293
787,2015-16,22,Berat Djimsiti,Atalanta,cognome/token,165513
3,2015-16,19,Boris Radunović,Atalanta,cognome/token,258482
801,2015-16,21,Roberto Gagliardini,Atalanta,cognome/token,197471
19,2015-16,28,Carlos Carmona,Atalanta,iniziale,76387
21,2015-16,24,Marco D'Alessandro,Atalanta,iniziale,99232
22,2015-16,24,Marten de Roon,Atalanta,iniziale,133179
41,2015-16,32,Antonio Mirante,Bologna,cognome/token,22141
49,2015-16,21,Adam Masina,Bologna,cognome/token,286949
54,2015-16,30,Luca Rossettini,Bologna,cognome/token,60128
55,2015-16,36,Franco Brienza,Bologna,cognome/token,16137
