squadra,nome_forum,titolarita_forum,media_voto_forum,salute_forum,bonus_forum,consiglio_esperti_forum,totale_forum,ruolo_testuale_forum,player_id
ATA,Marco CARNESECCHI,9,8,9,8,8,42,"Portiere, titolare",4431
ATA,Marco SPORTIELLO,3,6,8,7,4,28,"Portiere, si gioca il ruolo di secondo",4
ATA,Paolo VISMARA,2,7,8,7,4,28,"Portiere, si gioca il ruolo di secondo",7545
ATA,Davide ZAPPACOSTA,8,7,7,7,8,36,"Terzino, titolare",554
ATA,Odilon KOSSONOU,7,7,8,6,6,34,"Difensore, il più titolare ad oggi tra i centrali",
ATA,Raoul BELLANOVA,6,7,8,6,6,33,"Terzino, riserva",4887
ATA,Giorgio SCALVINI,7,7,5,6,7,32,"Difensore, il più titolare ad oggi tra i centrali",5526
ATA,Lorenzo BERNASCONI,6,7,7,5,6,32,"Terzino, si gioca il posto sulla sinistra",7219
ATA,Honest AHANOR,6,6,8,5,6,31,"Difensore, si gioca la titolarità sulla sinistra",6916
ATA,Berat DJIMSITI,7,6,7,5,6,31,"Difensore, in ballottaggio per una maglia da titiolare",787
ATA,Isac HIEN,6,6,7,5,6,30,"Difensore, in ballottaggio per una maglia da titolare",6046
ATA,Sead KOLASINAC,5,7,7,5,5,29,"Difensore, il più titolare ad oggi tra i centrali",2640
ATA,Mitchel BAKKER,,,,,,,"Terzino, riserva",
ATA,José dos Santos Lourenço da Silva EDERSON,9,9,8,8,8,42,"Mediano, si gioca il posto da titolare",5792
ATA,Mario PASALIC,6,7,8,7,8,36,"Centrocampista, si gioca il ruolo da titolare",2077
ATA,Gianluca GAETANO,7,7,8,5,6,33,"Mediano, si gioca il posto da titolare",4364
ATA,Ibrahim SULEMANA,6,7,8,6,6,33,"Mediano, non pensiamo sarà ancora in rosa ad inizio campionato",6024
ATA,Nicola ZALEWSKI,6,7,8,6,5,32,"Ala sinistra/ centrocampista, si gioca il posto da titolare in entrambe le posizioni",5422
ATA,Lazar SAMARDZIC,6,5,8,7,6,32,"Centrocampista, si gioca il posto da titolare",5119
ATA,Marten DE ROON,6,7,8,5,5,31,"Mediano, riserva",22
ATA,Gianluca SCAMACCA,7,8,6,8,8,37,"Attaccante, titolare",2137
ATA,Nikola KRSTOVIC,6,7,8,7,7,35,"Attaccante, riserva",6435
ATA,Charles DE KETELAERE,8,7,7,6,7,35,"Ala, titolare",5995
ATA,Giacomo RASPADORI,6,7,8,5,6,32,"Ala sinistra/punta centrale, riserva di entrambi i ruoli",4371
ATA,Kamaldeen SULEMANA,6,6,8,4,5,29,"Ala, riserva",5918
ATA,Daniel MALDINI,,,,,,,"Centrocampista, non pensiamo sarà ancora in rosa ad inizio campionato",
ATA,El Bilal TOURE',,,,,,,"Attaccante/ala sinistra, riserva in entrambi i ruoli",
BOL,Lukasz SKORUPSKI,8,7,6,7,7,35,"Portiere, titolare",133
BOL,Massimo PESSINA,5,7,5,5,5,27,"Portiere, riserva",7172
BOL,Matteo FRANCESCHELLI,1,7,7,7,1,24,"Portiere, riserva",
BOL,Juan MIRANDA,8,7,7,7,7,36,"Terzino sinistro, titolare",4734
BOL,Torbjørn HEGGEM,7,6,7,4,7,31,"Difensore centrale, titolare",7212
BOL,Emil HOLM,7,6,4,7,6,30,"Terzino destro, in ballottaggio",5678
BOL,Eivind HELLAND,6,6,7,4,7,30,"Difensore centrale, in ballottaggio",7326
BOL,Martin VITÍK,7,6,6,5,6,30,"Difensore centrale,  in ballottaggio",7068
BOL,Nadir ZORTEA,5,6,7,6,4,28,"Terzino destro/Esterno destro, in ballottaggio",4433
BOL,Abdel Rahim ALHASSANE,4,5,6,5,5,25,"Terzino sinistro, riserva",7483
BOL,Lorenzo DE SILVESTRI,4,6,5,4,4,23,"Terzino destro, capitano, riserva",487
BOL,Nicolò CASALE,4,5,5,4,4,22,"Difensore centrale, riserva",5498
BOL,Jhon LUCUMI',1,7,8,6,4,19,"Difensore centrale, in uscita",6042
BOL,Jonathan ROWE,8,7,7,8,8,38,"Ala sinistra, in ballottaggio",6844
BOL,Federico BERNARDESCHI,7,7,7,8,7,36,"Esterno Destro/Trequartista, Mezz'ala, prima alternativa",184
BOL,Tommaso POBEGA,6,6,7,6,6,31,"Mediano, in ballottaggio",5298
BOL,Mikel Jesus AMONDARAIN,6,7,7,5,6,31,"Mediano, in ballottaggio",7528
BOL,Lewis FERGUSON,6,6,5,7,6,30,"Centrocampista centrale, in ballottaggio",5858
BOL,Nikola MORO,6,6,6,4,5,27,"Mediano, titolare",6054
BOL,Ossama EL AZZOUZI,6,6,5,4,5,26,"Mediano, riserva",6225
BOL,Benjamin DOMINGUEZ,5,6,6,4,5,25,"Ala sinistra, riserva",6895
BOL,Artem DOVBYK,7,6,6,8,7,34,"Punta centrale, titolare",6675
BOL,Thjis DALLINGA,5,5,5,6,5,26,"Punta centrale, riserva",6643
CAG,Elia CAPRILE,9,8,8,6,8,39,"Portiere, titolare",4360
CAG,Alen SHERRI,3,5,7,5,3,23,"Portiere, secondo portiere",6650
CAG,Giuseppe CIOCCI,1,6,5,5,1,18,"Portiere, terzo portiere",4929
CAG,Adam OBERT,8,7,8,6,7,36,"Terzino sinistro/esterno sinistro/braccetto sinistro, titolare",5701
CAG,Yerry MINA,8,7,6,6,7,34,"Difensore centrale, titolare",4210
CAG,Juan RODRIGUEZ,7,6,8,5,6,32,"Difensore centrale, titolare in ballottaggio",7268
CAG,da Silva Figueiredo ZE PEDRO,8,5,8,5,6,32,"Terzino destro/braccetto destro/difensore centrale, titolare",7274
CAG,Raphael KOFLER,7,6,7,6,6,32,"Difensore centrale, riserva in ballottaggio",7532
CAG,Gabriele ZAPPA,6,6,8,6,5,31,"Terzino destro/esterno destro/braccetto destro, riserva in ballottaggio",4461
CAG,Giuseppe AURELIO,5,6,7,7,5,30,"Terzino sinistro, riserva",
CAG,Riyad IDRISSI,5,6,6,7,6,30,"Terzino sinistro/esterno sinistro, riserva",7125
CAG,Othniel RATERINK,4,6,8,6,4,28,"Terzino destro/esterno destro, riserva",7346
CAG,Jacopo FAZZINI,8,7,5,7,8,35,"Mezzala sinistra/trequartista, titolare",6010
CAG,Harry WINKS,8,6,8,5,6,33,"Regista, titolare in ballottaggio",4260
CAG,Michel ADOPO,8,6,8,5,5,32,"Mezzala destra/centrocampista centrale, titolare",4870
CAG,Alessandro ROMANO,6,6,8,5,6,31,"Mezzala destra/regista, titolare in ballottaggio",7311
CAG,Alessandro DEIOLA,7,6,7,5,5,31,"Centrocampista centrale/difensore centrale, riserva in ballottaggio",1871
CAG,Mattia FELICI,6,6,6,6,6,30,Ala sinistra/trequartista,6640
CAG,Kevin CARLOS,8,6,8,7,7,37,"Punta centrale, titolare",
CAG,Paul MENDY,6,6,8,5,5,30,"Punta centrale , riserva",7374
CAG,Kingstone MUTANDWA,5,6,8,5,5,29,"Punta centrale/seconda punta , riserva",6598
CAG,Gennaro BORRELLI,6,6,7,5,5,29,"Punta centrale , riserva",6243
CAG,Yael TREPY,6,6,7,5,5,29,"Punta centrale , ala destra/sinistra, riserva",7317
CAG,Sebastiano DI PAOLO,5,7,8,4,5,29,"Ala destra/seconda punta, riserva",
CAG,Sebastiano ESPOSITO,3,8,8,7,3,29,"Seconda punta/punta centrale, titolare",4463
CAG,Augustìn ALBARRACÌN,4,4,8,4,4,24,"esterno destro/sinistro, riserva",7338
COM,Jacobo RAMON,9,8,8,6,9,40,"Difensore centrale, titolare",6869
COM,Yan COUTO,8,7,9,6,8,38,"Esterno/Terzino destro, titolare",6727
COM,Trevoh CHALOBAH,8,7,9,6,8,38,"Difensore centrale, titolare",5641
COM,Alex VALLE,7,7,9,6,8,37,"Esterno/Terzino sinistro, in ballottaggio",6867
COM,Bruno da Silva KAIKI,7,7,9,5,7,35,"Terzino sinistro, in ballottaggio",7414
COM,Marc Oliver KEMPF,7,7,8,7,6,35,"Difensore centrale, semi titolare",6893
COM,Andrès CUENCA,6,6,7,5,6,30,"Difensore Centrale, riserva",7407
COM,Ivan SMOLCIC,6,7,8,3,5,29,"Terzino destro,   riserva",7014
COM,Edoardo GOLDANIGA,2,6,5,5,2,20,"Difensore centrale, in ballottaggio",418
COM,Nico PAZ,9,9,9,10,10,46,"Trequartista, titolare",6875
COM,Martin BATURINA,9,8,9,8,9,43,"Trequartista/Ala/Centrocampista, titolare",7126
COM,Lucas DA CUNHA,9,8,8,7,9,41,"Centrocampista centrale, titolare",5559
COM,Maximo PERRONE,9,8,8,6,9,40,"Centrocampista centrale, titolare",6151
COM,Luis MILLA,6,7,9,6,7,35,"Centrocampista, riserva",7412
COM,Jesus RODRIGUEZ,6,7,9,6,6,34,"Ala sinistra, riserva",7129
COM,Maxence CAQUERET,6,7,8,6,7,34,"Centrocampista/trequartista, in ballottaggio",5036
COM,Mattia LIBERALI,5,7,8,6,6,32,"Trequartista/Ala, riserva",6678
COM,Jayden ADDAI,6,6,6,5,5,28,"Ala destra, riserva",7127
COM,Adrian LAHDO,4,6,9,4,4,27,"Centrocampista/trequartista, riserva",7357
COM,Fabio RISPOLI,4,5,9,4,4,27,"Centrocampista/Trequartista, riserva",
COM,Anastasios DOUVIKAS,9,7,9,8,8,41,"Punta centrale, in ballottaggio",7017
COM,Nicolas KUHN,5,6,8,5,4,28,"Ala destra, in ballottaggio",7128
COM,Alvaro MORATA,7,4,6,5,5,27,"Punta centrale, in ballottaggio",313
FIO,Radu DRAGUSIN,8,7,6,7,8,36,"Difensore centrale, titolare",5365
FIO,Domilson Cordeiro dos Santos DODÔ,7,7,8,6,7,36,"Terzino destro, titolare",5885
FIO,Alejandro JIMÉNEZ,8,6,8,6,7,35,"Terzino destro/sinistro o ala, titolare",6531
FIO,Fernandes Santos Lopes VIERY,7,6,8,6,6,33,"Difensore centrale, possibile titolare",7410
FIO,Víctor VALDEPEÑAS TALAVERA,7,6,8,5,6,32,"Terzino sinistro, possibile titolare",7294
FIO,Luca RANIERI,6,6,8,6,6,32,"Difensore centrale, possibile titolare",4378
FIO,JOAO MARIO,6,6,8,6,5,32,"Terzino destro, possibile titolare",7175
FIO,Marin PONGRACIC,6,6,7,5,6,30,"Difensore centrale, possibile titolare",5603
FIO,Niccolò FORTINI,5,7,7,5,4,29,"Terzino destro/sinistro, riserva",
FIO,Eman KOSPO,4,6,8,5,3,26,"Difensore centrale, riserva",
