squadra,nome,ruolo,quotazione_iniziale_2026_27,presenze_2025_26,pred_fantamedia,pred_voto,pred_gol,pred_assist,pred_bonus_netti,pred_presenze_previste,pred_presenze_titolare_previste,titolarita_forum_esperti,salute_forum_esperti,consiglio_forum_esperti,totale_forum_esperti
ATA,Scamacca,a,19.0,22,6.42,5.92,2.4,1.8,12.6,22.8,12.0,7.0,6.0,8.0,37.0
ATA,Krstovic,a,18.0,32,6.86,6.08,9.6,3.0,32.9,28.6,21.3,6.0,8.0,7.0,35.0
ATA,De Ketelaere,a,17.0,31,6.55,6.1,4.6,3.0,15.5,27.1,22.0,8.0,7.0,7.0,35.0
ATA,Carnesecchi,p,16.0,37,5.16,6.16,0.3,0.4,-29.4,29.9,29.2,9.0,9.0,8.0,42.0
ATA,Raspadori,a,13.0,13,6.39,5.96,4.0,1.3,10.6,21.4,13.3,6.0,8.0,6.0,32.0
ATA,Ederson D.S.,c,12.0,30,6.35,6.06,2.7,1.9,7.8,27.4,25.1,9.0,8.0,8.0,42.0
ATA,Samardzic,c,12.0,21,6.34,5.98,2.5,2.3,7.4,23.7,16.6,6.0,8.0,6.0,32.0
ATA,Scalvini,d,10.0,24,6.11,5.94,1.4,0.9,2.6,24.8,19.5,7.0,5.0,7.0,32.0
ATA,Pasalic,c,9.0,31,6.26,5.98,3.4,3.0,8.9,23.5,16.8,6.0,8.0,8.0,36.0
ATA,Hien,d,8.0,28,5.74,5.84,0.7,0.4,0.3,24.4,19.4,6.0,7.0,6.0,30.0
ATA,Zappacosta,d,8.0,35,6.24,5.97,1.6,1.6,6.3,24.6,18.9,8.0,7.0,8.0,36.0
ATA,Djimsiti,d,7.0,33,5.72,5.81,0.6,0.8,-0.4,22.7,0.0,7.0,7.0,6.0,31.0
ATA,Gaetano,c,7.0,32,6.18,5.96,2.2,1.1,6.9,21.7,15.6,7.0,8.0,6.0,33.0
ATA,Ahanor,d,6.0,21,5.79,5.82,1.0,0.5,0.4,21.6,18.0,6.0,8.0,6.0,31.0
ATA,Bellanova,d,6.0,22,5.99,5.91,0.9,2.1,1.9,21.5,15.7,6.0,8.0,6.0,33.0
ATA,Bernasconi,d,6.0,22,5.93,5.98,0.9,2.1,1.1,23.2,19.5,6.0,7.0,6.0,32.0
ATA,Zalewski,c,6.0,31,6.13,6.04,1.5,1.8,4.7,22.9,19.9,6.0,8.0,5.0,32.0
ATA,Sulemana K.,a,6.0,21,6.16,5.93,1.6,1.6,5.1,19.5,10.3,6.0,8.0,5.0,29.0
ATA,Kolasinac,d,5.0,17,5.76,5.91,0.1,0.6,-0.2,16.6,11.6,5.0,7.0,5.0,29.0
ATA,De Roon,c,4.0,34,6.03,5.96,0.9,1.1,1.9,21.9,19.9,6.0,8.0,5.0,31.0
