squadra,nome,ruolo,quotazione_iniziale_2026_27,presenze_2025_26,pred_fantamedia,pred_voto,pred_gol,pred_assist,pred_bonus_netti,pred_presenze_previste,pred_presenze_titolare_previste,titolarita_forum_esperti,salute_forum_esperti,consiglio_forum_esperti,totale_forum_esperti,indice_sorpresa,categoria_sorpresa,giornata1_squadra_casa,giornata1_squadra_ospite,giornata1_data_ora,titolare_previsto_giornata1,ballottaggio_pct_giornata1,indisponibile_giornata1,motivo_indisponibilita_giornata1,voto_consigliato_giornata1,commento_voto_giornata1,rigorista_giornata1,tira_punizioni_giornata1,tira_angoli_giornata1,indice_rischio_giornata1,categoria_rischio_giornata1
ATA,Scamacca,a,19.0,22,6.42,5.92,2.4,1.8,12.6,22.8,12.0,7.0,6.0,8.0,37.0,2.34,coerente (modello ed esperti d'accordo),ATA,SAS,2026-08-23T18:45:00Z,True,55,False,,4,"Approfondimento tra gli "" Possibili sorprese """,True,False,False,-0.0,coerente (modello e scheda partita d'accordo)
ATA,Krstovic,a,18.0,32,6.86,6.08,9.6,3.0,32.9,28.6,21.3,6.0,8.0,7.0,35.0,-4.45,RISCHIO AL RIBASSO (esperti meno fiduciosi del modello),ATA,SAS,2026-08-23T18:45:00Z,False,45,False,,4,"Approfondimento tra gli "" Possibili sorprese """,False,False,False,-4.45,RISCHIO GIORNATA 1 (ballottaggio/indisponibilita' non previsti dal modello)
ATA,De Ketelaere,a,17.0,31,6.55,6.1,4.6,3.0,15.5,27.1,22.0,8.0,7.0,7.0,35.0,0.99,coerente (modello ed esperti d'accordo),,,,,,,,,,,,,,
ATA,Carnesecchi,p,16.0,37,5.16,6.16,0.3,0.4,-29.4,29.9,29.2,9.0,9.0,8.0,42.0,0.0,coerente (modello ed esperti d'accordo),ATA,SAS,2026-08-23T18:45:00Z,,,False,,4,"Anche in questa pre season uno dei migliori in campo quasi sempre, spesso sollecitato con la nuova difesa ancora da rodare ma grazie proprio a questo motivo, le sue parate potrebbero aumentare! Di conseguenza anche il vostro voto da mod. Mi aspetto comunque almeno un gol subito, e lo penso per parecchie giornate in questo inizio, ma il gioco potrebbe valere la candela: non pensiamo che le palle in fondo al sacco siano così tante da rovinare un eventuale bel voto. Azzardo dicendo 6,5 - 1",False,False,False,,
ATA,Raspadori,a,13.0,13,6.39,5.96,4.0,1.3,10.6,21.4,13.3,6.0,8.0,6.0,32.0,0.0,coerente (modello ed esperti d'accordo),ATA,SAS,2026-08-23T18:45:00Z,,,False,,2,"Finchè giocherà ala, il suo indice sarà sempre questo purtroppo. Sicuramente un ottimo tappabuchi e niente più ad ora",False,True,False,,
ATA,Ederson D.S.,c,12.0,30,6.35,6.06,2.7,1.9,7.8,27.4,25.1,9.0,8.0,8.0,42.0,0.0,coerente (modello ed esperti d'accordo),ATA,SAS,2026-08-23T18:45:00Z,,,False,,4,"Approfondimento tra i "" Consigliati """,True,True,False,,
ATA,Samardzic,c,12.0,21,6.34,5.98,2.5,2.3,7.4,23.7,16.6,6.0,8.0,6.0,32.0,-0.48,coerente (modello ed esperti d'accordo),ATA,SAS,2026-08-23T18:45:00Z,,,False,,3,"Scommessa di giornata, continua il periodo di cose buone e cose meno, sarà davvero tornato il giocatore di Udine o l’ennesimo anno da fuoco di pagli? Comunque chi ce l’ha è costretto a schierarlo in partite come queste abbordabili sulla carta. E' incaricato di gran parte dei piazzati, e possibile vice rigorista. Una bella occasione per i suoi possessori ma occhio perchè Pasalic scalpita.. anche stasera in coppa è entrato molto bene",True,True,True,,
ATA,Scalvini,d,10.0,24,6.11,5.94,1.4,0.9,2.6,24.8,19.5,7.0,5.0,7.0,32.0,-0.49,coerente (modello ed esperti d'accordo),,,,,,,,,,,,,,
ATA,Pasalic,c,9.0,31,6.26,5.98,3.4,3.0,8.9,23.5,16.8,6.0,8.0,8.0,36.0,-0.63,coerente (modello ed esperti d'accordo),ATA,SAS,2026-08-23T18:45:00Z,,,False,,3,,False,False,False,,
ATA,Hien,d,8.0,28,5.74,5.84,0.7,0.4,0.3,24.4,19.4,6.0,7.0,6.0,30.0,-2.57,coerente (modello ed esperti d'accordo),,,,,,,,,,,,,,
ATA,Zappacosta,d,8.0,35,6.24,5.97,1.6,1.6,6.3,24.6,18.9,8.0,7.0,8.0,36.0,3.49,SORPRESA AL RIALZO (esperti piu' fiduciosi del modello),ATA,SAS,2026-08-23T18:45:00Z,False,40,False,,3,"Non finisce tra gli sconsigliati solo perchè subentrando a gara in corso, con gli avversari stanchi, potrebbe cavarsela dignitosamente sia in fase difensiva che fare qualche accelerazione in avanti. ma non ci aspettiamo oltre visto che in questo pre campionato è rimasto abbastanza ""spento"" a livello di prestazioni. Si può schierare ma con valide alternative, questo è un turno in cui lo si può lasciare fuori.",False,False,False,-2.18,coerente (modello e scheda partita d'accordo)
