player_id,altezza_m,nazionalita,piede_dominante,posizione_tm,scadenza_contratto
346,1.84,Germany,right,Attack - Centre-Forward,-
292,1.82,Switzerland,right,Defender - Right-Back,-
616,1.84,Mexico,,,
222,1.83,Argentina,,,
2530,1.95,Sweden,,,
349,1.91,Italy,right,Goalkeeper,-
153,1.8,Italy,right,Attack - Centre-Forward,-
368,1.74,Netherlands,,,
489,1.83,Finland,left,Defender - Centre-Back,-
282,1.92,Italy,right,Goalkeeper,-
290,1.74,France,,,
359,1.87,France,right,Defender - Centre-Back,-
465,1.83,Mali,,,
552,1.82,Italy,left,Defender - Centre-Back,-
585,1.82,Italy,left,Midfield - Left Midfield,-
722,1.86,Italy,left,Attack - Centre-Forward,-
516,1.85,Italy,right,Defender - Centre-Back,-
56,1.78,Italy,right,Midfield - Central Midfield,-
698,1.84,Italy,right,Attack - Centre-Forward,-
450,1.9,Italy,right,Goalkeeper,-
598,1.8,Italy,right,Midfield - Central Midfield,-
127,1.75,Italy,right,Attack - Centre-Forward,-
545,1.81,Italy,right,Defender - Centre-Back,-
463,1.84,Italy,both,Midfield - Defensive Midfield,-
2074,1.86,Italy,right,Midfield - Central Midfield,-
480,1.8,Italy,both,Attack - Second Striker,-
648,1.75,Italy,right,Attack - Second Striker,-
101,1.91,Italy,right,Defender - Centre-Back,-
734,1.78,Brazil,,,
638,1.93,Italy,both,Attack - Centre-Forward,-
609,1.88,Italy,right,Goalkeeper,-
364,,Italy,N/A,Defender - Centre-Back,-
204,1.77,Italy,right,Midfield - Defensive Midfield,-
602,1.7,Italy,right,Attack - Centre-Forward,-
755,1.83,Italy,left,Midfield - Defensive Midfield,-
665,1.84,Italy,left,Midfield - Attacking Midfield,-
39,1.87,Chile,,,
564,1.86,Italy,,,
2790,1.95,Italy,right,Goalkeeper,-
579,1.85,Italy,left,Defender - Centre-Back,-
502,1.77,Italy,right,Midfield - Defensive Midfield,-
528,1.81,Italy,right,Midfield - Defensive Midfield,-
47,1.87,Italy,right,Defender - Centre-Back,-
209,1.81,Italy,right,Midfield - Central Midfield,-
285,1.87,Italy,right,Defender - Centre-Back,-
95,1.88,Argentina,,,
387,1.88,Spain,right,Goalkeeper,-
2610,1.85,Portugal,right,Attack - Centre-Forward,30/06/2027
618,1.93,Greece,right,Defender - Centre-Back,-
713,1.8,Switzerland,,,
558,1.81,Sweden,left,Midfield - Central Midfield,-
1929,1.74,Argentina,,,
5478,1.87,Finland,right,Goalkeeper,-
2770,1.84,Belgium,,,
245,1.84,North Macedonia,,,
2178,1.84,Italy,right,Goalkeeper,-
1864,1.89,Portugal,,,
2707,1.75,England,,,
2749,1.82,Croatia,right,Defender - Right-Back,-
355,1.88,Brazil,right,Defender - Centre-Back,-
388,1.9,Spain,right,Defender - Centre-Back,-
2055,1.83,Belgium,left,Defender - Centre-Back,-
1932,1.72,Brazil,,,
494,1.8,Paraguay,,,
55,1.72,Italy,left,Midfield - Attacking Midfield,-
570,1.9,Greece,right,Goalkeeper,-
353,1.8,Italy,right,Defender - Right-Back,-
1889,1.88,Italy,right,Goalkeeper,-
435,1.8,Italy,right,Midfield - Central Midfield,-
320,,Netherlands,,,
104,1.85,Italy,right,Defender - Centre-Back,-
425,1.8,Italy,right,Defender - Centre-Back,-
534,1.83,Italy,right,Attack - Centre-Forward,-
771,1.86,Ghana,,,
381,1.82,France,right,Attack - Centre-Forward,-
708,1.88,Brazil,left,Defender - Centre-Back,-
2123,1.79,Ghana,left,Midfield - Central Midfield,-
650,1.78,Italy,right,Attack - Right Winger,-
488,1.8,Algeria,,,
458,1.85,Brazil,right,Defender - Right-Back,-
187,1.73,Italy,,,
1863,1.87,Italy,right,Goalkeeper,-
6,1.8,Italy,right,Defender - Left-Back,-
82,1.84,Italy,left,Midfield - Central Midfield,-
372,1.81,Italy,,,
636,1.8,Italy,right,Attack - Centre-Forward,-
594,1.82,Greece,,,
197,1.83,Bosnia-Herzegovina,,,
319,1.83,Serbia,right,Defender - Right-Back,-
167,1.82,Argentina,,,
492,1.85,Argentina,,,
26,1.67,Argentina,,,
2063,1.81,Argentina,right,Midfield - Attacking Midfield,31/12/2026
774,1.76,Netherlands,,,
394,1.84,Italy,right,Defender - Right-Back,-
378,1.8,Italy,left,Attack - Right Winger,-
29,1.8,Italy,right,Midfield - Central Midfield,-
521,1.88,Italy,left,Defender - Left-Back,-
108,1.9,Italy,right,Defender - Right-Back,-
1948,1.81,Argentina,,,
68,1.89,Italy,right,Goalkeeper,-
485,1.84,Italy,right,Defender - Right-Back,-
2204,1.7,Italy,right,Midfield - Attacking Midfield,-
510,1.83,Italy,left,Goalkeeper,-
227,1.8,Italy,left,Defender - Left-Back,-
413,1.86,Italy,right,Goalkeeper,-
2302,,Switzerland,,,
551,1.82,Italy,left,Defender - Left-Back,-
2409,,France,N/A,Attack - Left Winger,-
17,1.9,Italy,right,Defender - Centre-Back,-
325,1.84,France,,,
48,1.85,Italy,right,Defender - Centre-Back,-
41,1.93,Italy,right,Goalkeeper,-
524,1.8,Italy,right,Midfield - Central Midfield,-
373,1.75,Italy,right,Midfield - Central Midfield,-
438,1.85,Italy,right,Midfield - Central Midfield,-
427,1.76,Italy,right,Defender - Right-Back,-
16,1.82,Italy,right,Midfield - Right Midfield,-
132,1.88,Italy,right,Goalkeeper,-
318,1.88,Italy,left,Goalkeeper,-
568,1.8,Italy,right,Attack - Centre-Forward,-
1875,1.9,Italy,right,Midfield - Central Midfield,-
2338,1.88,France,right,Goalkeeper,-
626,1.85,Iceland,left,Midfield - Central Midfield,-
146,1.73,Italy,right,Midfield - Central Midfield,-
784,1.8,Italy,,,
166,1.78,Italy,left,Defender - Left-Back,-
2266,1.78,Italy,right,Midfield - Central Midfield,-
484,1.95,Italy,left,Goalkeeper,-
100,1.91,Slovenia,left,Defender - Centre-Back,-
776,1.85,Serbia,,,
461,1.86,Greece,right,Defender - Right-Back,-
793,,Serbia,,,
332,1.8,Italy,right,Attack - Right Winger,-
2179,1.92,Italy,right,Goalkeeper,-
111,1.84,Slovenia,left,Midfield - Attacking Midfield,-
566,1.89,Argentina,,,
792,1.75,Argentina,,,
2405,1.92,Germany,right,Defender - Centre-Back,-
2871,1.87,Estonia,left,Defender - Centre-Back,31/12/2026
331,1.78,Argentina,,,
2720,1.76,France,,,
655,1.73,Spain,left,Attack - Left Winger,-
543,1.91,Italy,right,Goalkeeper,30/06/2027
2606,1.72,Croatia,right,Midfield - Central Midfield,30/06/2027
701,1.72,Spain,right,Midfield - Attacking Midfield,-
105,1.83,Italy,left,Defender - Left-Back,-
250,1.93,Slovenia,right,Goalkeeper,-
653,1.8,Italy,right,Defender - Right-Back,-
647,1.92,Bosnia-Herzegovina,right,Attack - Centre-Forward,30/06/2027
559,1.84,Italy,left,Midfield - Defensive Midfield,-
486,1.88,Italy,right,Defender - Centre-Back,-
1909,1.82,Italy,right,Attack - Left Winger,-
124,1.82,Italy,left,Attack - Centre-Forward,-
288,1.87,Italy,left,Defender - Centre-Back,-
606,1.89,France,right,Attack - Centre-Forward,-
299,1.89,Germany,,,
6120,1.85,Mexico,,,
5401,1.94,Italy,right,Attack - Centre-Forward,-
212,1.91,Italy,right,Attack - Centre-Forward,-
710,,Poland,N/A,Attack - Right Winger,-
1872,1.82,Italy,right,Midfield - Central Midfield,-
533,1.8,Italy,right,Attack - Centre-Forward,-
31,1.59,Argentina,right,Midfield - Attacking Midfield,31/12/2026
2628,1.92,Argentina,,,
360,1.9,Italy,,,
323,1.82,Argentina,,,
116,1.8,Argentina,,,
35,1.82,Argentina,,,
399,1.73,Netherlands,,,
226,1.83,Italy,right,Defender - Centre-Back,30/06/2028
20,1.75,Italy,right,Midfield - Defensive Midfield,-
257,1.86,Brazil,right,Defender - Centre-Back,-
13,1.8,Senegal,,,
474,1.79,Cote d'Ivoire,right,Attack - Left Winger,-
487,1.87,Italy,right,Defender - Right-Back,30/06/2027
2859,1.82,Belgium,,,
2323,1.77,Portugal,,,
2190,1.84,Italy,right,Attack - Centre-Forward,-
4878,1.99,Bosnia-Herzegovina,,,
2306,1.75,France,,,
15,1.84,Italy,right,Defender - Centre-Back,-
198,1.8,Italy,right,Defender - Right-Back,-
624,1.83,Greece,right,Attack - Right Winger,-
138,1.82,Italy,left,Defender - Centre-Back,-
365,1.87,Colombia,right,Defender - Centre-Back,-
352,1.96,Spain,right,Goalkeeper,-
1935,1.92,Croatia,right,Goalkeeper,-
2831,,Switzerland,,,
312,,Croatia,N/A,Attack - Centre-Forward,-
4512,1.78,Denmark,right,Midfield - Defensive Midfield,-
4324,1.86,Italy,,,
717,1.83,Brazil,,,
311,1.95,Spain,right,Attack - Centre-Forward,-
62,1.85,Italy,,,
2246,1.8,Italy,right,Attack - Centre-Forward,30/06/2026
529,1.91,Italy,right,Midfield - Central Midfield,-
509,1.89,Italy,right,Goalkeeper,-
2005,,Serbia,N/A,Defender - Centre-Back,-
243,1.8,Togo,,,
251,1.87,Italy,right,Defender - Centre-Back,-
652,1.87,Croatia,both,Attack - Centre-Forward,-
69,1.98,Serbia,right,Goalkeeper,-
115,1.79,Finland,,,
180,1.89,Spain,right,Midfield - Defensive Midfield,-
506,1.77,Italy,,,
284,1.86,Brazil,,,
2414,1.8,Chile,right,Midfield - Central Midfield,31/12/2026
2284,1.83,Ecuador,,,
176,1.76,Chile,,,
396,1.72,Colombia,right,Midfield - Left Midfield,-
103,1.84,France,right,Defender - Right-Back,-
635,1.78,Argentina,,,
402,1.83,Slovakia,both,Midfield - Central Midfield,-
1857,1.71,Italy,right,Attack - Left Winger,-
8,1.84,Italy,left,Defender - Left-Back,-
2322,,Germany,N/A,Defender - Centre-Back,-
268,1.83,Colombia,right,Midfield - Central Midfield,-
280,1.76,Argentina,,,
249,1.87,Argentina,right,Goalkeeper,-
408,1.84,Argentina,,,
210,1.8,Italy,right,Midfield - Left Midfield,-
2406,1.91,Germany,right,Defender - Centre-Back,-
395,1.86,Croatia,left,Defender - Left-Back,-
2802,1.8,Italy,left,Midfield - Central Midfield,-
625,1.84,Italy,left,Midfield - Central Midfield,-
286,1.89,Italy,right,Defender - Centre-Back,-
2084,1.96,England,right,Goalkeeper,-
172,1.75,Spain,right,Midfield - Central Midfield,-
593,1.74,Chile,,,
2475,1.69,Chile,right,Attack - Second Striker,-
170,1.86,Croatia,right,Midfield - Defensive Midfield,-
380,1.83,Italy,right,Attack - Centre-Forward,-
4268,1.92,Austria,,,
2209,1.79,Brazil,,,
196,1.92,France,,,
1946,1.87,Italy,right,Goalkeeper,-
1,1.9,Italy,right,Goalkeeper,-
467,1.77,Belgium,right,Midfield - Central Midfield,30/06/2027
2428,1.83,Switzerland,right,Goalkeeper,30/06/2029
563,1.78,Italy,right,Midfield - Defensive Midfield,30/06/2026
704,1.86,Croatia,both,Attack - Left Winger,30/06/2027
4420,1.86,Italy,,,
2081,1.76,Belgium,right,Midfield - Central Midfield,-
220,1.86,Kosovo,,,
4977,1.84,Italy,right,Goalkeeper,-
211,1.75,Italy,right,Attack - Right Winger,-
2799,1.85,Italy,right,Goalkeeper,-
191,1.9,Italy,,,
1862,1.9,Italy,left,Goalkeeper,-
291,1.76,Chile,right,Defender - Right-Back,-
804,1.84,Guinea,,,
2011,1.8,Portugal,left,Midfield - Defensive Midfield,-
453,1.95,Poland,right,Goalkeeper,30/06/2027
493,1.88,Bosnia-Herzegovina,left,Defender - Centre-Back,-
2759,1.83,Italy,left,Defender - Left-Back,-
469,1.81,Bosnia-Herzegovina,,,
199,1.86,Italy,right,Defender - Centre-Back,-
261,1.95,Italy,right,Defender - Centre-Back,-
329,1.83,Romania,left,Defender - Left-Back,-
300,1.8,Italy,right,Midfield - Central Midfield,-
374,1.82,Italy,right,Midfield - Central Midfield,-
5004,1.72,Italy,,,
4270,1.9,Portugal,left,Goalkeeper,-
1931,,Morocco,,,
696,1.89,Italy,,,
2111,1.85,Morocco,,,
2016,1.95,Argentina,,,
2382,1.78,Argentina,,,
4500,1.87,Italy,right,Attack - Centre-Forward,30/06/2027
2319,1.83,Netherlands,,,
356,1.84,Italy,left,Defender - Left-Back,-
276,1.77,France,,,
560,1.78,Nigeria,,,
2168,1.82,Argentina,,,
1881,1.83,Italy,right,Attack - Centre-Forward,30/06/2026
278,1.83,Montenegro,,,
118,1.87,Serbia,right,Midfield - Defensive Midfield,-
2214,1.87,Serbia,left,Defender - Left-Back,-
1973,1.9,Croatia,left,Attack - Centre-Forward,30/06/2027
1878,1.84,Croatia,right,Attack - Centre-Forward,-
2060,1.83,Croatia,left,Defender - Left-Back,-
548,1.9,Poland,,,
2656,1.95,Serbia,left,Defender - Centre-Back,-
344,1.86,Serbia,left,Attack - Centre-Forward,-
169,1.83,Serbia,right,Defender - Centre-Back,30/06/2027
434,1.82,Bosnia-Herzegovina,,,
714,1.83,Switzerland,,,
705,1.79,France,,,
483,1.87,Italy,right,Goalkeeper,-
2633,1.91,Denmark,right,Defender - Centre-Back,-
379,1.84,Brazil,right,Attack - Centre-Forward,-
2391,1.86,Sweden,right,Midfield - Defensive Midfield,-
2638,1.75,Netherlands,,,
2472,1.78,Wales,right,Midfield - Central Midfield,-
807,1.88,Slovenia,right,Attack - Centre-Forward,-
5466,1.89,Norway,right,Defender - Centre-Back,-
2176,1.86,Mexico,,,
78,1.93,Argentina,,,
2058,1.82,Colombia,left,Midfield - Defensive Midfield,-
1873,1.8,Italy,left,Midfield - Attacking Midfield,-
206,1.83,Austria,right,Midfield - Defensive Midfield,30/06/2027
5808,1.64,Italy,right,Attack - Second Striker,-
2109,1.83,Brazil,left,Defender - Centre-Back,-
269,1.8,Brazil,both,Midfield - Attacking Midfield,-
466,1.82,Brazil,left,Midfield - Attacking Midfield,-
5287,1.8,Germany,,,
1943,1.82,North Macedonia,left,Attack - Centre-Forward,30/06/2027
2525,1.83,Italy,right,Defender - Right-Back,-
2572,1.87,Uruguay,,,
455,1.86,Brazil,,,
287,1.8,Uruguay,right,Defender - Centre-Back,31/12/2026
237,1.79,Argentina,,,
1947,1.9,Italy,left,Goalkeeper,30/06/2027
2378,1.87,Argentina,,,
160,1.98,Romania,right,Goalkeeper,-
2529,1.77,Armenia,both,Midfield - Central Midfield,30/06/2027
2321,1.78,Sweden,,,
253,1.8,Italy,right,Defender - Centre-Back,-
1882,1.69,Italy,right,Attack - Centre-Forward,-
706,1.81,Argentina,,,
1938,1.81,Argentina,,,
410,1.69,Belgium,right,Attack - Second Striker,-
772,1.79,Germany,left,Midfield - Left Midfield,30/06/2027
619,1.86,Italy,right,Defender - Right-Back,-
80,1.8,Italy,right,Midfield - Defensive Midfield,-
301,1.77,Italy,right,Midfield - Central Midfield,-
2265,1.77,Italy,right,Midfield - Defensive Midfield,-
499,1.82,Serbia,left,Midfield - Central Midfield,-
2703,1.75,Portugal,,,
224,1.9,France,,,
354,1.86,Italy,left,Defender - Left-Back,-
10,1.88,Italy,left,Defender - Centre-Back,-
154,1.92,Georgia,left,Attack - Centre-Forward,-
131,1.86,Italy,right,Goalkeeper,-
703,1.74,France,left,Attack - Left Winger,-
367,1.8,Italy,right,Midfield - Attacking Midfield,-
412,1.88,Italy,right,Goalkeeper,30/06/2027
1912,1.85,Italy,right,Defender - Centre-Back,30/06/2026
25,1.86,Italy,right,Midfield - Central Midfield,-
5463,1.84,Italy,,,
519,1.83,Italy,right,Defender - Right-Back,-
2782,1.89,Spain,left,Defender - Centre-Back,-
4400,1.89,Ukraine,right,Midfield - Central Midfield,-
475,1.74,Spain,left,Attack - Right Winger,-
2521,1.92,Spain,right,Goalkeeper,30/06/2028
2801,1.8,Italy,right,Defender - Centre-Back,-
2488,1.77,Nigeria,,,
54,1.87,Italy,right,Defender - Centre-Back,-
2193,1.87,France,right,Midfield - Defensive Midfield,-
2303,1.73,Italy,,,
2288,1.84,Cameroon,right,Defender - Centre-Back,-
622,1.87,France,,,
2118,1.94,Bosnia-Herzegovina,,,
272,1.71,Chile,,,
406,1.78,Spain,right,Attack - Right Winger,-
87,1.76,Italy,right,Midfield - Defensive Midfield,-
338,1.83,Bosnia-Herzegovina,,,
2812,1.76,Italy,left,Attack - Right Winger,-
