stagione,player_id,nome_giocatore,squadra_sigla,ruolo_classic,ruolo_mantra,quotazione_iniziale,quotazione_attuale,fvm
2015-16,408,Higuain,NAP,a,pc,34.0,44.0,
2015-16,309,Dybala,JUV,a,a,29.0,32.0,
2015-16,277,Icardi,INT,a,pc,35.0,30.0,
2015-16,377,Bacca,MIL,a,pc,29.0,28.0,
2015-16,646,Salah,ROM,a,a,26.0,28.0,
2015-16,303,Pogba,JUV,c,cc,23.0,25.0,
2015-16,441,Belotti,TOR,a,pc,22.0,25.0,
2015-16,153,Maccarone,EMP,a,pc,21.0,24.0,
2015-16,313,Morata,JUV,a,pc,30.0,24.0,
2015-16,402,Hamsik,NAP,c,cc|t,22.0,24.0,
2015-16,247,Pavoletti,GEN,a,pc,22.0,23.0,
2015-16,312,Mandzukic,JUV,a,pc,25.0,23.0,
2015-16,332,Candreva,LAZ,c,w|t,24.0,23.0,
2015-16,409,Insigne,NAP,a,t|a,21.0,23.0,
2015-16,449,Vazquez,PAL,a,t|a,22.0,23.0,
2015-16,406,Callejon,NAP,a,a,21.0,22.0,
2015-16,704,Perisic,INT,c,w|a,21.0,22.0,
2015-16,126,Paloschi,CHI,a,pc,21.0,21.0,
2015-16,469,Pjanic,ROM,c,cc|t,17.0,21.0,
2015-16,606,Thereau,UDI,a,a,19.0,21.0,
2015-16,785,Immobile,TOR,a,pc,22.0,21.0,
2015-16,795,El Shaarawy,ROM,a,a,15.0,21.0,
2015-16,177,Ilicic,FIO,c,t|a,16.0,20.0,
2015-16,282,Buffon,JUV,p,por,18.0,20.0,
2015-16,335,Felipe Anderson,LAZ,c,w|t,24.0,20.0,
2015-16,531,Berardi,SAS,a,a,26.0,20.0,
2015-16,537,Sansone,SAS,a,a,16.0,20.0,
2015-16,647,Dzeko,ROM,a,pc,30.0,20.0,
2015-16,26,Gomez,ATA,c,w|a,13.0,19.0,
2015-16,150,Saponara,EMP,c,t,21.0,19.0,
2015-16,172,Borja Valero,FIO,c,cc|t,14.0,19.0,
2015-16,278,Jovetic,INT,a,a,25.0,19.0,
2015-16,467,Nainggolan,ROM,c,m|cc,16.0,19.0,
2015-16,506,Eder,INT,a,a,24.0,19.0,
2015-16,652,Kalinic,FIO,a,pc,22.0,19.0,
2015-16,697,Cuadrado,JUV,c,w|a,20.0,19.0,
2015-16,698,Gilardino,PAL,a,pc,19.0,19.0,
2015-16,237,Perotti,ROM,c,w,17.0,18.0,
2015-16,346,Klose,LAZ,a,pc,19.0,18.0,
2015-16,367,Bonaventura,MIL,c,cc|w|t,17.0,18.0,
2015-16,407,Gabbiadini,NAP,a,a,26.0,18.0,
2015-16,410,Mertens,NAP,a,w|t|a,18.0,18.0,
2015-16,507,Muriel,SAM,a,pc,23.0,18.0,
2015-16,568,Quagliarella,SAM,a,pc,24.0,18.0,
2015-16,638,Toni,VER,a,pc,28.0,18.0,
2015-16,35,Denis,ATA,a,pc,20.0,17.0,
2015-16,397,Allan,NAP,c,m|cc,13.0,17.0,
2015-16,474,Gervinho,ROM,a,a,16.0,17.0,
2015-16,608,Zapata D.,UDI,a,pc,19.0,17.0,
2015-16,643,Defrel,SAS,a,a,19.0,17.0,
2015-16,722,Borriello,ATA,a,pc,16.0,17.0,
2015-16,212,Ciofani D.,FRO,a,pc,15.0,16.0,
2015-16,477,Iturbe,ROM,a,a,19.0,16.0,
2015-16,636,Pazzini,VER,a,pc,20.0,16.0,
2015-16,702,Giaccherini,BOL,c,w|t,12.0,16.0,
2015-16,152,Zielinski,EMP,c,cc|t,9.0,15.0,
2015-16,156,Pucciarelli,EMP,a,t|a,15.0,15.0,
2015-16,286,Bonucci,JUV,d,dc,13.0,15.0,
2015-16,379,Luiz Adriano,MIL,a,pc,23.0,15.0,
2015-16,387,Reina,NAP,p,por,14.0,15.0,
2015-16,464,Florenzi,ROM,c,cd|cc|w,12.0,15.0,
2015-16,480,Totti,ROM,a,pc,20.0,15.0,
2015-16,484,Viviano,SAM,p,por,12.0,15.0,
2015-16,513,Acerbi,SAS,d,dc,8.0,15.0,
2015-16,602,Di Natale,UDI,a,pc,27.0,15.0,
2015-16,31,Moralez,ATA,c,t|a,13.0,14.0,
2015-16,167,Rodriguez Go,FIO,d,dc,15.0,14.0,
2015-16,213,Dionisi F.,FRO,a,pc,13.0,14.0,
2015-16,250,Handanovic,INT,p,por,15.0,14.0,
2015-16,271,Kovacic,INT,c,cc|t,14.0,14.0,
2015-16,345,Keita B.,LAZ,a,a,14.0,14.0,
2015-16,472,Destro,BOL,a,pc,18.0,14.0,
2015-16,794,Tello C.,FIO,a,a,13.0,14.0,
2015-16,41,Mirante,BOL,p,por,8.0,13.0,
2015-16,111,Birsa,CHI,c,w|t,9.0,13.0,
2015-16,187,Rossi,FIO,a,pc,19.0,13.0,
2015-16,265,Brozovic,INT,c,m|cc,11.0,13.0,
2015-16,274,Shaqiri,INT,c,w|t,13.0,13.0,
2015-16,280,Palacio,INT,a,a,18.0,13.0,
2015-16,285,Barzagli,JUV,d,dc,10.0,13.0,
2015-16,307,Coman,JUV,a,a,13.0,13.0,
2015-16,311,Llorente,JUV,a,pc,13.0,13.0,
2015-16,318,Marchetti,LAZ,p,por,13.0,13.0,
2015-16,344,Djordjevic,LAZ,a,pc,25.0,13.0,
2015-16,478,Ljajic,INT,a,a,20.0,13.0,
2015-16,509,Consigli,SAS,p,por,9.0,13.0,
2015-16,546,Bruno Peres,TOR,d,dd|cd,10.0,13.0,
2015-16,648,Cassano,SAM,a,a,18.0,13.0,
2015-16,784,Diamanti,ATA,c,t|a,15.0,13.0,
2015-16,4,Sportiello,ATA,p,por,10.0,12.0,
2015-16,33,Boakye,ATA,a,a,12.0,12.0,
2015-16,55,Brienza,BOL,c,t|a,15.0,12.0,
2015-16,90,Lasagna,CAR,a,pc,4.0,12.0,
2015-16,95,Bizzarri,CHI,p,por,10.0,12.0,
2015-16,183,Babacar,FIO,a,pc,20.0,12.0,
2015-16,184,Bernardeschi,FIO,a,a,8.0,12.0,
2015-16,218,Perin,GEN,p,por,12.0,12.0,
2015-16,238,Rincon,GEN,c,cd|m|cc,7.0,12.0,
2015-16,257,Miranda,INT,d,dc,11.0,12.0,
2015-16,331,Biglia,LAZ,c,m|cc,12.0,12.0,
2015-16,375,Suso,GEN,c,w|t,5.0,12.0,
2015-16,392,Koulibaly,NAP,d,dc,8.0,12.0,
2015-16,453,Szczesny,ROM,p,por,6.0,12.0,
2015-16,459,Manolas,ROM,d,dc,11.0,12.0,
2015-16,476,Ibarbo,ROM,a,a,13.0,12.0,
2015-16,556,Baselli,TOR,c,m|cc,9.0,12.0,
2015-16,604,Lopez N.,UDI,a,a,12.0,12.0,
2015-16,657,Digne,ROM,d,ds|cs,10.0,12.0,
2015-16,792,Zarate,FIO,a,a,10.0,12.0,
2015-16,63,Bianchi,BOL,a,pc,11.0,11.0,
2015-16,140,Hysaj,NAP,d,dd|ds|cd|cs,7.0,11.0,
2015-16,160,Tatarusanu,FIO,p,por,8.0,11.0,
2015-16,178,Joaquin,FIO,c,cd|w,12.0,11.0,
2015-16,299,Khedira,JUV,c,m|cc,11.0,11.0,
2015-16,342,Parolo,LAZ,c,cc,17.0,11.0,
2015-16,350,Donnarumma G.,MIL,p,por,1.0,11.0,
2015-16,356,Antonelli,MIL,d,ds|cs,10.0,11.0,
2015-16,378,Cerci,GEN,a,a,15.0,11.0,
2015-16,390,Ghoulam,NAP,d,ds|cs,8.0,11.0,
2015-16,404,Jorginho,NAP,c,m|cc,8.0,11.0,
2015-16,438,Rigoni L,GEN,c,m|cc,13.0,11.0,
2015-16,475,Iago Falque,ROM,a,a,21.0,11.0,
2015-16,523,Vrsaljko,SAS,d,dd|cd,8.0,11.0,
2015-16,526,Duncan,SAS,c,m|cc,7.0,11.0,
2015-16,536,Politano,SAS,a,w|a,6.0,11.0,
2015-16,566,Maxi Lopez,TOR,a,pc,17.0,11.0,
2015-16,590,Bruno Fernandes,UDI,c,cc|t,10.0,11.0,
2015-16,662,Alex Sandro,JUV,d,ds|cs,12.0,11.0,
2015-16,20,Cigarini,ATA,c,m|cc,11.0,10.0,
2015-16,28,Kurtic,ATA,c,m|cc,11.0,10.0,
2015-16,39,Pinilla,ATA,a,pc,21.0,10.0,
2015-16,81,Di Gaudio,CAR,c,w|a,8.0,10.0,
2015-16,112,Castro,CHI,c,w|t,13.0,10.0,
2015-16,124,Meggiorini,CHI,a,a,9.0,10.0,
2015-16,165,Marcos Alonso,FIO,d,ds|cs,5.0,10.0,
2015-16,235,Laxalt,GEN,c,cs|cc|w,4.0,10.0,
2015-16,288,Chiellini,JUV,d,ds|dc,14.0,10.0,
2015-16,300,Marchisio,JUV,c,m|cc,14.0,10.0,
2015-16,338,Lulic,LAZ,c,cs|cc|w,13.0,10.0,
2015-16,353,Abate,MIL,d,dd|cd,9.0,10.0,
2015-16,381,Menez,MIL,a,t|a,20.0,10.0,
2015-16,388,Albiol,NAP,d,dc,9.0,10.0,
