stagione,giornata,squadra,forma3_punti_mean,forma3_gf_mean,forma3_gs_mean,forma3_xg_for_mean,forma3_xg_against_mean,forma3_n_partite,forma5_punti_mean,forma5_gf_mean,forma5_gs_mean,forma5_xg_for_mean,forma5_xg_against_mean,forma5_n_partite
2015-16,1,Sassuolo,,,,,,0,,,,,,0
2015-16,1,Verona,,,,,,0,,,,,,0
2015-16,1,Chievo,,,,,,0,,,,,,0
2015-16,1,Roma,,,,,,0,,,,,,0
2015-16,1,Bologna,,,,,,0,,,,,,0
2015-16,1,Sampdoria,,,,,,0,,,,,,0
2015-16,1,Carpi,,,,,,0,,,,,,0
2015-16,1,Juventus,,,,,,0,,,,,,0
2015-16,1,Empoli,,,,,,0,,,,,,0
2015-16,1,Frosinone,,,,,,0,,,,,,0
2015-16,1,Napoli,,,,,,0,,,,,,0
2015-16,1,Torino,,,,,,0,,,,,,0
2015-16,1,Inter,,,,,,0,,,,,,0
2015-16,1,Atalanta,,,,,,0,,,,,,0
2015-16,1,Lazio,,,,,,0,,,,,,0
2015-16,1,Palermo,,,,,,0,,,,,,0
2015-16,1,Udinese,,,,,,0,,,,,,0
2015-16,1,Milan,,,,,,0,,,,,,0
2015-16,1,Fiorentina,,,,,,0,,,,,,0
2015-16,1,Genoa,,,,,,0,,,,,,0
2015-16,2,Sassuolo,3.0,2.0,1.0,2.168266085907817,1.1672304067760706,1,3.0,2.0,1.0,2.168266085907817,1.1672304067760706,1
2015-16,2,Verona,1.0,1.0,1.0,0.8784554116427898,1.1631223782896996,1,1.0,1.0,1.0,0.8784554116427898,1.1631223782896996,1
2015-16,2,Chievo,3.0,3.0,1.0,1.0769027983769774,1.2418321128934622,1,3.0,3.0,1.0,1.0769027983769774,1.2418321128934622,1
2015-16,2,Roma,1.0,1.0,1.0,1.1631223782896996,0.8784554116427898,1,1.0,1.0,1.0,1.1631223782896996,0.8784554116427898,1
2015-16,2,Bologna,0.0,1.0,2.0,0.382483103312552,1.5440387199632823,1,0.0,1.0,2.0,0.382483103312552,1.5440387199632823,1
2015-16,2,Sampdoria,3.0,5.0,2.0,1.407545717433095,2.6739173252135515,1,3.0,5.0,2.0,1.407545717433095,2.6739173252135515,1
2015-16,2,Carpi,0.0,2.0,5.0,2.6739173252135515,1.407545717433095,1,0.0,2.0,5.0,2.6739173252135515,1.407545717433095,1
2015-16,2,Juventus,0.0,0.0,1.0,1.824509596452117,0.8671777714043856,1,0.0,0.0,1.0,1.824509596452117,0.8671777714043856,1
2015-16,2,Empoli,0.0,1.0,3.0,1.2418321128934622,1.0769027983769774,1,0.0,1.0,3.0,1.2418321128934622,1.0769027983769774,1
2015-16,2,Frosinone,0.0,1.0,2.0,0.8951086602173746,1.9989524092525244,1,0.0,1.0,2.0,0.8951086602173746,1.9989524092525244,1
2015-16,2,Napoli,0.0,1.0,2.0,1.1672304067760706,2.168266085907817,1,0.0,1.0,2.0,1.1672304067760706,2.168266085907817,1
2015-16,2,Torino,3.0,2.0,1.0,1.9989524092525244,0.8951086602173746,1,3.0,2.0,1.0,1.9989524092525244,0.8951086602173746,1
2015-16,2,Inter,3.0,1.0,0.0,1.0357197942212224,0.38058270141482353,1,3.0,1.0,0.0,1.0357197942212224,0.38058270141482353,1
2015-16,2,Atalanta,0.0,0.0,1.0,0.38058270141482353,1.0357197942212224,1,0.0,0.0,1.0,0.38058270141482353,1.0357197942212224,1
