stagione_target,player_id,nome_giocatore,ruolo,squadra_giocatore_target,squadra_giocatore_n1,cambio_squadra,presenze_cumulate_carriera_n1,fantamedia_target,gol_target,assist_target,bonus_netti_target,presenze_target,voto_medio_target,presenze_titolare_target,fantamedia_lag1,gol_lag1,assist_lag1,bonus_netti_lag1,presenze_lag1,voto_medio_lag1,minuti_totali_lag1,xg_totale_lag1,xa_totale_lag1,shots_totali_lag1,presenze_titolare_lag1,ammonizioni_totali_lag1,espulsioni_totali_lag1,rigori_segnati_totali_lag1,rigori_sbagliati_totali_lag1,rigori_parati_totali_lag1,fantamedia_ma3,gol_ma3,assist_ma3,bonus_netti_ma3,presenze_ma3,voto_medio_ma3,minuti_totali_ma3,xg_totale_ma3,xa_totale_ma3,shots_totali_ma3,presenze_titolare_ma3,ammonizioni_totali_ma3,espulsioni_totali_ma3,rigori_segnati_totali_ma3,rigori_sbagliati_totali_ma3,rigori_parati_totali_ma3,fantamedia_std3,fantamedia_trend3,gol_std3,gol_trend3,assist_std3,assist_trend3,bonus_netti_std3,bonus_netti_trend3,presenze_std3,presenze_trend3,voto_medio_std3,voto_medio_trend3,minuti_totali_std3,minuti_totali_trend3,xg_totale_std3,xg_totale_trend3,xa_totale_std3,xa_totale_trend3,shots_totali_std3,shots_totali_trend3,presenze_titolare_std3,presenze_titolare_trend3,ammonizioni_totali_std3,ammonizioni_totali_trend3,espulsioni_totali_std3,espulsioni_totali_trend3,rigori_segnati_totali_std3,rigori_segnati_totali_trend3,rigori_sbagliati_totali_std3,rigori_sbagliati_totali_trend3,rigori_parati_totali_std3,rigori_parati_totali_trend3,fantamedia_career_mean,gol_career_mean,assist_career_mean,bonus_netti_career_mean,presenze_career_mean,voto_medio_career_mean,minuti_totali_career_mean,xg_totale_career_mean,xa_totale_career_mean,shots_totali_career_mean,presenze_titolare_career_mean,ammonizioni_totali_career_mean,espulsioni_totali_career_mean,rigori_segnati_totali_career_mean,rigori_sbagliati_totali_career_mean,rigori_parati_totali_career_mean,eta_n1,squadra_in_champions_n1,squadra_in_champions_target,squadra_punti_finali_n1,squadra_posizione_finale_n1,squadra_nuova_punti_finali_n1,squadra_nuova_posizione_finale_n1,quotazione_iniziale_n1,quotazione_attuale_n1,fvm_n1,quotazione_iniziale_target,infortuni_n1_count,infortuni_n1_giorni_totali,infortuni_career_count,altezza_m,nazionalita,piede_dominante,titolarita_forum,media_voto_forum,salute_forum,bonus_forum,consiglio_esperti_forum,totale_forum
2016-17,133,Skorupski,portiere,Empoli,Empoli,0.0,1.0,5.0,0.0,0.0,-47.0,35.0,6.3428571428571425,35.0,4.790322580645161,0.0,0.0,-44.0,31.0,6.209677419354839,2790.0,0.11197599768638611,0.0,1.0,31.0,2.0,0.0,0.0,0.0,0.0,4.790322580645161,0.0,0.0,-44.0,31.0,6.209677419354839,2790.0,0.11197599768638611,0.0,1.0,31.0,2.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.790322580645161,0.0,0.0,-44.0,31.0,6.209677419354839,2790.0,0.11197599768638611,0.0,1.0,31.0,2.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,43.0,12.0,,,9.0,9.0,,9.0,1.0,119.0,1.0,1.88,Poland,right,,,,,,
2017-18,133,Skorupski,portiere,Roma,Empoli,1.0,2.0,6.5,0.0,0.0,0.0,1.0,6.5,1.0,5.0,0.0,0.0,-47.0,35.0,6.3428571428571425,3150.0,0.0,0.02934259921312332,0.0,35.0,2.0,0.0,0.0,0.0,4.0,4.89516129032258,0.0,0.0,-45.5,33.0,6.276267281105991,2970.0,0.055987998843193054,0.01467129960656166,0.5,33.0,2.0,0.0,0.0,0.0,2.0,0.10483870967741948,0.20967741935483897,0.0,0.0,0.0,0.0,1.5,-3.0,2.0,4.0,0.06658986175115178,0.13317972350230356,180.0,360.0,0.055987998843193054,-0.11197599768638611,0.01467129960656166,0.02934259921312332,0.5,-1.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,4.89516129032258,0.0,0.0,-45.5,33.0,6.276267281105991,2970.0,0.055987998843193054,0.01467129960656166,0.5,33.0,2.0,0.0,0.0,0.0,2.0,25.0,0.0,1.0,32.0,17.0,84.0,2.0,9.0,10.0,,1.0,0.0,0,1.0,1.88,Poland,right,,,,,,
2018-19,133,Skorupski,portiere,Bologna,Roma,1.0,3.0,4.618421052631579,0.0,0.0,-56.5,38.0,6.105263157894737,38.0,6.5,0.0,0.0,0.0,1.0,6.5,90.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.43010752688172,0.0,0.0,-30.333333333333332,22.333333333333332,6.350844854070661,2010.0,0.0373253325621287,0.009780866404374441,0.3333333333333333,22.333333333333332,1.3333333333333333,0.0,0.0,0.0,1.3333333333333333,0.7613556256543051,0.8548387096774195,0.0,0.0,0.0,0.0,21.483844059096025,22.0,15.173075568988056,-15.0,0.1186582006041988,0.14516129032258052,1365.576801208925,-1350.0,0.05278599152944852,-0.055987998843193054,0.013832233920825701,0.0,0.4714045207910317,-0.5,15.173075568988056,-15.0,0.9428090415820634,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8856180831641267,0.0,5.43010752688172,0.0,0.0,-30.333333333333332,22.333333333333332,6.350844854070661,2010.0,0.0373253325621287,0.009780866404374441,0.3333333333333333,22.333333333333332,1.3333333333333333,0.0,0.0,0.0,1.3333333333333333,26.0,1.0,0.0,74.0,3.0,39.0,13.0,1.0,2.0,,9.0,0.0,0,1.0,1.88,Poland,right,,,,,,
2019-20,133,Skorupski,portiere,Bologna,Bologna,0.0,4.0,4.3108108108108105,0.0,0.0,-62.0,37.0,5.986486486486487,37.0,4.618421052631579,0.0,0.0,-56.5,38.0,6.105263157894737,3420.0,0.0,0.0,0.0,38.0,1.0,0.0,0.0,0.0,0.0,5.37280701754386,0.0,0.0,-34.5,24.666666666666668,6.316040100250626,2220.0,0.0,0.009780866404374441,0.0,24.666666666666668,1.0,0.0,0.0,0.0,1.3333333333333333,0.8121262783756702,-0.19078947368421062,0.0,0.0,0.0,0.0,24.7015519080617,-4.75,16.779617264870957,1.5,0.16226246014698648,-0.11879699248120268,1510.1655538383864,135.0,0.0,0.0,0.013832233920825701,-0.01467129960656166,0.0,0.0,16.779617264870957,1.5,0.816496580927726,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.8856180831641267,-2.0,5.227185908319185,0.0,0.0,-36.875,26.25,6.289449430026679,2362.5,0.027993999421596527,0.00733564980328083,0.25,26.25,1.25,0.0,0.0,0.0,1.0,27.0,0.0,0.0,41.0,12.0,,,9.0,10.0,,9.0,1.0,11.0,2.0,1.88,Poland,right,,,,,,
2020-21,133,Skorupski,portiere,Bologna,Bologna,0.0,5.0,4.642857142857143,0.0,0.0,-40.5,28.0,6.089285714285714,28.0,4.3108108108108105,0.0,0.0,-62.0,37.0,5.986486486486487,3330.0,0.0,0.022039400413632393,0.0,37.0,2.0,0.0,0.0,0.0,1.0,5.14307728781413,0.0,0.0,-39.5,25.333333333333332,6.197249881460408,2280.0,0.0,0.007346466804544131,0.0,25.333333333333332,1.0,0.0,0.0,0.0,0.3333333333333333,0.9676726203810362,-1.0945945945945947,0.0,0.0,0.0,0.0,28.02082558859868,-31.0,17.21110752456745,18.0,0.21949973443341356,-0.2567567567567566,1548.9996772110703,1620.0,0.0,0.0,0.010389472990510042,0.011019700206816196,0.0,0.0,17.21110752456745,18.0,0.816496580927726,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4714045207910317,0.5,5.04391088881751,0.0,0.0,-41.9,28.4,6.228856841318641,2556.0,0.02239519953727722,0.010276399925351143,0.2,28.4,1.4,0.0,0.0,0.0,1.0,28.0,0.0,0.0,46.0,12.0,,,9.0,6.0,,8.0,1.0,5.0,3.0,1.88,Poland,right,,,,,,
2021-22,133,Skorupski,portiere,Bologna,Bologna,0.0,6.0,4.791666666666667,0.0,0.0,-52.0,36.0,6.236111111111111,36.0,4.642857142857143,0.0,0.0,-40.5,28.0,6.089285714285714,2520.0,0.0,0.0,0.0,28.0,1.0,0.0,0.0,0.0,2.0,4.52402966876651,0.0,0.0,-53.0,34.333333333333336,6.060345119555646,3090.0,0.0,0.007346466804544131,0.0,34.333333333333336,1.3333333333333333,0.0,0.0,0.0,1.0,0.15109818368051903,0.012218045112782239,0.0,0.0,0.0,0.0,9.119576013536301,8.0,4.4969125210773475,-5.0,0.052631694729845115,-0.007988721804511378,404.72212689696124,-450.0,0.0,0.0,0.010389472990510042,0.0,0.0,0.0,4.4969125210773475,-5.0,0.4714045207910317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.816496580927726,1.0,4.977068597824116,0.0,0.0,-41.666666666666664,28.333333333333332,6.2055949868131535,2550.0,0.01866266628106435,0.008563666604459286,0.16666666666666666,28.333333333333332,1.3333333333333333,0.0,0.0,0.0,1.1666666666666667,29.0,0.0,0.0,41.0,11.0,,,8.0,9.0,,9.0,2.0,47.0,5.0,1.88,Poland,right,,,,,,
2022-23,133,Skorupski,portiere,Bologna,Bologna,0.0,7.0,4.972972972972973,0.0,0.0,-45.0,37.0,6.1891891891891895,37.0,4.791666666666667,0.0,0.0,-52.0,36.0,6.236111111111111,3240.0,0.0,0.0,0.0,36.0,4.0,0.0,0.0,0.0,1.0,4.581778206778207,0.0,0.0,-51.5,33.666666666666664,6.103961103961105,3030.0,0.0,0.007346466804544131,0.0,33.666666666666664,2.3333333333333335,0.0,0.0,0.0,1.3333333333333333,0.2010034259278817,0.24042792792792822,0.0,0.0,0.0,0.0,8.784455968736292,5.0,4.027681991198191,-0.5,0.1024357964819574,0.12481231231231193,362.49137920783716,-45.0,0.0,0.0,0.010389472990510042,-0.011019700206816196,0.0,0.0,4.027681991198191,-0.5,1.247219128924647,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4714045207910317,0.0,4.950582607658766,0.0,0.0,-43.142857142857146,29.428571428571427,6.209954433141434,2648.5714285714284,0.01599657109805516,0.007340285660965102,0.14285714285714285,29.428571428571427,1.7142857142857142,0.0,0.0,0.0,1.1428571428571428,30.0,0.0,0.0,43.0,13.0,,,9.0,11.0,,11.0,1.0,4.0,6.0,1.88,Poland,right,,,,,,
2023-24,133,Skorupski,portiere,Bologna,Bologna,0.0,8.0,5.328125,0.0,0.0,-27.0,32.0,6.171875,32.0,4.972972972972973,0.0,0.0,-45.0,37.0,6.1891891891891895,3330.0,0.0,0.0,0.0,37.0,4.0,0.0,0.0,0.0,2.0,4.802498927498927,0.0,0.0,-45.833333333333336,33.666666666666664,6.171528671528672,3030.0,0.0,0.0,0.0,33.666666666666664,3.0,0.0,0.0,0.0,1.6666666666666667,0.13498671225795872,0.16505791505791478,0.0,0.0,0.0,0.0,4.73168985552613,-2.25,4.027681991198191,4.5,0.06122823260153698,0.04995173745173753,362.49137920783716,405.0,0.0,0.0,0.0,0.0,0.0,0.0,4.027681991198191,4.5,1.4142135623730951,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.4714045207910317,0.0,4.953381403323042,0.0,0.0,-43.375,30.375,6.2073587776474035,2733.75,0.013996999710798264,0.006422749953344464,0.125,30.375,2.0,0.0,0.0,0.0,1.25,31.0,0.0,0.0,51.0,11.0,,,11.0,13.0,16.0,10.0,1.0,4.0,7.0,1.88,Poland,right,,,,,,
2024-25,133,Skorupski,portiere,Bologna,Bologna,0.0,9.0,5.037037037037037,0.0,0.0,-30.5,27.0,6.166666666666667,27.0,5.328125,0.0,0.0,-27.0,32.0,6.171875,2880.0,0.0,0.0,0.0,32.0,2.0,0.0,0.0,0.0,1.0,5.030921546546547,0.0,0.0,-41.333333333333336,35.0,6.199058433433433,3150.0,0.0,0.0,0.0,35.0,3.3333333333333335,0.0,0.0,0.0,1.3333333333333333,0.2228084584497086,0.2682291666666665,0.0,0.0,0.0,0.0,10.530379332620877,12.5,2.160246899469287,-2.0,0.02713694872474485,-0.03211805555555536,194.42222095223582,-180.0,0.0,0.0,0.0,0.0,0.0,0.0,2.160246899469287,-2.0,0.9428090415820634,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4714045207910317,0.0,4.995019580731593,0.0,0.0,-41.55555555555556,30.555555555555557,6.203416135686581,2750.0,0.012441777520709567,0.0057091110696395235,0.1111111111111111,30.555555555555557,2.0,0.0,0.0,0.0,1.2222222222222223,32.0,0.0,1.0,68.0,3.0,,,10.0,15.0,32.5,11.0,0.0,0,7.0,1.88,Poland,right,,,,,,
2025-26,133,Skorupski,portiere,Bologna,Bologna,0.0,10.0,5.277777777777778,0.0,0.0,-16.5,18.0,6.194444444444445,19.0,5.037037037037037,0.0,0.0,-30.5,27.0,6.166666666666667,2364.0,0.0,0.0,0.0,27.0,1.0,0.0,0.0,0.0,1.0,5.112711670003336,0.0,0.0,-34.166666666666664,32.0,6.175910285285286,2858.0,0.0,0.0,0.0,32.0,2.3333333333333335,0.0,0.0,0.0,1.3333333333333333,0.15454929770419462,0.0320320320320322,0.0,0.0,0.0,0.0,7.79244648504064,7.25,4.08248290463863,-5.0,0.00962734476009575,-0.011261261261261257,394.67454947082666,-483.0,0.0,0.0,0.0,0.0,0.0,0.0,4.08248290463863,-5.0,1.247219128924647,-1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.4714045207910317,-0.5,4.999221326362138,0.0,0.0,-40.45,30.2,6.199741188784589,2711.4,0.01119759976863861,0.005138199962675572,0.1,30.2,1.9,0.0,0.0,0.0,1.2,33.0,1.0,0.0,62.0,8.0,,,11.0,13.0,20.0,10.0,2.0,20.0,9.0,1.88,Poland,right,,,,,,
